id,title,published,updated,summary,authors,doi,primary_category
http://arxiv.org/abs/0705.3599v1,"Integer symmetric matrices having all their eigenvalues in the interval
  [-2,2]",2007-05-24T15:45:39Z,2007-05-24T15:45:39Z,"We completely describe all integer symmetric matrices that have all their
eigenvalues in the interval [-2,2]. Along the way we classify all signed
graphs, and then all charged signed graphs, having all their eigenvalues in
this same interval. We then classify subsets of the above for which the integer
symmetric matrices, signed graphs and charged signed graphs have all their
eigenvalues in the open interval (-2,2).",James McKee; Chris Smyth,,math.CO
http://arxiv.org/abs/0811.3325v1,On mappings of terms determined by hypersubstitutions,2008-11-20T12:28:46Z,2008-11-20T12:28:46Z,"The extensions of hypersubstitutions are mappings on the set of all terms. In
the present paper we characterize all hypersubstitutions which provide
bijections on the set of all terms. The set of all such hypersubstitutions
forms a monoid. On the other hand, one can modify each hypersubstitution to any
mapping on the set of terms. For this we can consider mappings from the set of
all hypersubstitutions into the set of all mappings on the set of all terms.",Jorg Koppitz; Slavcho Shtrakov,,math.RA
http://arxiv.org/abs/1409.1340v1,On surjunctive monoids,2014-09-04T06:55:03Z,2014-09-04T06:55:03Z,"A monoid $M$ is called surjunctive if every injective cellular automata with
finite alphabet over $M$ is surjective. We show that all finite monoids, all
finitely generated commutative monoids, all cancellative commutative monoids,
all residually finite monoids, all finitely generated linear monoids, and all
cancellative one-sided amenable monoids are surjunctive. We also prove that
every limit of marked surjunctive monoids is itself surjunctive. On the other
hand, we show that the bicyclic monoid and, more generally, all monoids
containing a submonoid isomorphic to the bicyclic monoid are non-surjunctive.",Tullio Ceccherini-Silberstein; Michel Coornaert,,math.DS
http://arxiv.org/abs/2201.01886v2,"Deterministic all-versus-nothing proofs of Bell nonlocality based on
  non-stabilizer states",2022-01-06T01:54:03Z,2023-02-24T13:51:08Z,"The all-versus-nothing proof of Bell nonlocality is a kind of mainstream
demonstration of Bell's theorem without inequalities. Two kinds of such proofs,
called the deterministic all-versus-nothing proof and the probabilistic
all-versus-nothing proof, are both widely investigated. So far, all previous
deterministic all-versus-nothing proofs of Bell nonlocality are constructed
based on stabilizer states. To break with this tradition, some deterministic
all-versus-nothing proofs induced from non-stabilizer states are firstly
presented in this work. These results not only can greatly enrich the family of
the demonstration of Bell nonlocality without inequalities, but also may
provide us some useful resources in certain quantum information processing.",Weidong Tang,10.1088/1367-2630/acdd8b,quant-ph
http://arxiv.org/abs/1703.10566v1,On the roots of all-terminal reliability polynomials,2017-03-30T17:01:04Z,2017-03-30T17:01:04Z,"Given a graph $G$ in which each edge fails independently with probability
$q\in[0,1],$ the all-terminal reliability of $G$ is the probability that all
vertices of $G$ can communicate with one another, that is, the probability that
the operational edges span the graph. The all-terminal reliability is a
polynomial in $q$ whose roots (all-terminal reliability roots) were conjectured
to have modulus at most $1$ by Brown and Colbourn. Royle and Sokal proved the
conjecture false, finding roots of modulus larger than $1$ by a slim margin.
Here, we present the first nontrivial upper bound on the modulus of any
all-terminal reliability root, in terms of the number of vertices of the graph.
We also find all-terminal reliability roots of larger modulus than any
previously known. Finally, we consider the all-terminal reliability roots of
simple graphs; we present the smallest known simple graph with all-terminal
reliability roots of modulus greater than $1,$ and we find simple graphs with
all-terminal reliability roots of modulus greater than $1$ that have higher
edge connectivity than any previously known examples.",Jason Brown; Lucas Mol,10.1016/j.disc.2017.01.024,math.CO
http://arxiv.org/abs/1704.07600v1,"Evolution of antiferromagnetic domains in the all-in-all-out ordered
  pyrochlore Nd$_2$Zr$_2$O$_7$",2017-04-25T09:22:56Z,2017-04-25T09:22:56Z,"We report the observation of magnetic domains in the exotic,
antiferromagnetically ordered all-in-all-out state of Nd$_2$Zr$_2$O$_7$,
induced by spin canting. The all-in-all-out state can be realized by Ising-like
spins on a pyrochlore lattice and is established in Nd$_2$Zr$_2$O$_7$ below
0.31 K for external magnetic fields up to 0.14 T. Two different spin
arrangements can fulfill this configuration which leads to the possibility of
magnetic domains. The all-in-all-out domain structure can be controlled by an
external magnetic field applied parallel to the [111] direction. This is a
result of different spin canting mechanism for the two all-in-all-out
configurations for such a direction of the magnetic field. The change of the
domain structure is observed through a hysteresis in the magnetic
susceptibility. No hysteresis occurs, however, in case the external magnetic
field is applied along [100].",L. Opherden; J. Hornung; T. Herrmannsdörfer; J. Xu; A. T. M. N. Islam; B. Lake; J. Wosnitza,10.1103/PhysRevB.95.184418,cond-mat.str-el
http://arxiv.org/abs/2102.12422v2,"It was ""all"" for ""nothing"": sharp phase transitions for noiseless
  discrete channels",2021-02-24T17:31:37Z,2023-04-10T16:22:52Z,"We establish a phase transition known as the ""all-or-nothing"" phenomenon for
noiseless discrete channels. This class of models includes the Bernoulli group
testing model and the planted Gaussian perceptron model. Previously, the
existence of the all-or-nothing phenomenon for such models was only known in a
limited range of parameters. Our work extends the results to all signals with
arbitrary sublinear sparsity.
  Over the past several years, the all-or-nothing phenomenon has been
established in various models as an outcome of two seemingly disjoint results:
one positive result establishing the ""all"" half of all-or-nothing, and one
impossibility result establishing the ""nothing"" half. Our main technique in the
present work is to show that for noiseless discrete channels, the ""all"" half
implies the ""nothing"" half, that is a proof of ""all"" can be turned into a proof
of ""nothing."" Since the ""all"" half can often be proven by straightforward means
-- for instance, by the first-moment method -- our equivalence gives a powerful
and general approach towards establishing the existence of this phenomenon in
other contexts.",Jonathan Niles-Weed; Ilias Zadik,,math.ST
http://arxiv.org/abs/math/0401103v3,Maximal clones on uncountable sets that include all permutations,2004-01-10T14:08:16Z,2005-05-14T13:39:13Z,"We first determine the maximal clones on a set X of infinite regular
cardinality which contain all permutations but not all unary functions,
extending a result of Heindorf's for countably infinite X. If |X| is countably
infinite or weakly compact, this yields a list of all maximal clones containing
the permutations since in that case the maximal clones above the unary
functions are known. We then generalize a result of Gavrilov's to obtain on all
infinite X a list of all maximal submonoids of the monoid of unary functions
which contain the permutations.",Michael Pinsker,,math.RA
http://arxiv.org/abs/0803.0831v1,"On the ternary Goldbach problem with primes in independent arithmetic
  progressions",2008-03-06T10:55:33Z,2008-03-06T10:55:33Z,"We show that for every fixed $A>0$ and $\theta>0$ there is a
  $\vartheta=\vartheta(A,\theta)>0$ with the following property.
  Let $n$ be odd and sufficiently large, and let
  $Q_{1}=Q_{2}:=n^{\h}(\log n)^{-\vartheta}$ and $Q_{3}:=(\log n)^{\theta}$.
Then for all $q_{3}\leq Q_{3}$, all reduced residues $a_{3}$ mod $q_{3}$,
almost all $q_{2}\leq Q_{2}$, all admissible residues $a_{2}$ mod $q_{2}$,
almost all $q_{1}\leq Q_{1}$ and all admissible residues $a_{1}$ mod $q_{1}$,
there exists a representation $n=p_{1}+p_{2}+p_{3}$ with primes $p_{i}\equiv
a_{i} (q_{i})$, $i=1,2,3$.",Karin Halupczok,,math.NT
http://arxiv.org/abs/1104.2015v1,Orbit structure of interval exchange transformations with flip,2011-04-11T18:03:53Z,2011-04-11T18:03:53Z,"A sharp bound on the number of invariant components of an interval exchange
transformation is provided. More precisely, it is proved that the number of
periodic components n_per and the number of minimal components n_min of an
interval exchange transformation of n intervals satisfy n_per+2 n_min\le n.
Besides, it is shown that almost all interval exchange transformations are
typical, that is, have all the periodic components stable and all the minimal
components robust (i.e. persistent under almost all small perturbations).
Finally, we find all the possible values for the integer vector (n_per, n_min)
for all typical interval exchange transformation of n intervals.",Arnaldo Nogueira; Benito Pires; Serge Troubetzkoy,,math.DS
http://arxiv.org/abs/1201.4782v1,Blockers for non-crossing spanning trees in complete geometric graphs,2012-01-23T17:46:27Z,2012-01-23T17:46:27Z,"In this paper we present a complete characterization of the smallest sets
that block all the simple spanning trees (SSTs) in a complete geometric graph.
We also show that if a subgraph is a blocker for all SSTs of diameter at most
4, then it must block all simple spanning subgraphs, and in particular, all
SSTs. For convex geometric graphs, we obtain an even stronger result: being a
blocker for all SSTs of diameter at most 3 is already sufficient for blocking
all simple spanning subgraphs.",Chaya Keller; Micha A. Perles; Eduardo Rivera-Campo; Virginia Urrutia-Galicia,,math.CO
http://arxiv.org/abs/1404.3278v1,"Criteria for p-ordinarity of families of elliptic curves over infinitely
  many number fields",2014-04-12T10:50:50Z,2014-04-12T10:50:50Z,"Let $K_i$ be a number field for all $i \in \mathbb{Z}_{> 0}$ and let
$\mathcal{E}$ be a family of elliptic curves containing infinitely many members
defined over $K_i$ for all $i$. Fix a rational prime $p$. We give sufficient
conditions for the existence of an integer $i_0$ such that, for all $i > i_0$
and all elliptic curve $E \in \mathcal{E}$ having good reduction at all
$\mathfrak{p} \mid p$ in $K_i$, we have that $E$ has good ordinary reduction at
all primes $\mathfrak{p} \mid p$.",Nuno Freitas; Panagiotis Tsaknias,,math.NT
http://arxiv.org/abs/1607.02433v2,Plane-filling curves on all uniform grids,2016-07-08T16:03:57Z,2018-07-03T14:40:52Z,"We describe a search for plane-filling curves traversing all edges of a grid
once. The curves are given by Lindenmayer systems with only one non-constant
letter. All such curves for small orders on three grids have been found. For
all uniform grids we show how curves traversing all points once can be obtained
from the curves found. Curves traversing all edges once are described for the
four uniform grids where they exist.",Jörg Arndt,,math.CO
http://arxiv.org/abs/1609.06563v1,Quadratic forms representing all integers coprime to 3,2016-09-21T13:56:07Z,2016-09-21T13:56:07Z,"Following Bhargava and Hanke's celebrated 290-theorem, we prove a
universality theorem for all positive-definite integer-valued quadratic forms
that represent all positive integers coprime to $3$. In particular, if a
positive-definite quadratic form represents all positive integers coprime to
$3$ and $\leq 290$, then it represents all positive integers coprime to $3$. We
use similar methods to those used by Rouse to prove (assuming GRH) that a
positive-definite quadratic form representing every odd integer between $1$ and
$451$ represents all positive odd integers.",Justin DeBenedetto; Jeremy Rouse,,math.NT
http://arxiv.org/abs/1712.00859v1,"On the Geometry of Nash and Correlated Equilibria with Cumulative
  Prospect Theoretic Preferences",2017-12-04T00:04:17Z,2017-12-04T00:04:17Z,"It is known that the set of all correlated equilibria of an n-player
non-cooperative game is a convex polytope and includes all the Nash equilibria.
Further, the Nash equilibria all lie on the boundary of this polytope. We study
the geometry of both these equilibrium notions when the players have cumulative
prospect theoretic (CPT) preferences. The set of CPT correlated equilibria
includes all the CPT Nash equilibria but it need not be a convex polytope. We
show that it can, in fact, be disconnected. However, all the CPT Nash
equilibria continue to lie on its boundary. We also characterize the sets of
CPT correlated equilibria and CPT Nash equilibria for all 2x2 games.",Soham R. Phade; Venkat Anantharam,10.1287/deca.2018.0378,cs.GT
http://arxiv.org/abs/1903.03164v1,Shallow Overlay Trees Suffice for High-Throughput Consensus,2019-03-07T20:15:45Z,2019-03-07T20:15:45Z,"All-to-all data transmission is a typical data transmission pattern in
blockchain systems. Developing an optimization scheme that provides high
throughput and low latency data transmission can significantly benefit the
performance of those systems. In this work, we consider the problem of
optimizing all-to-all data transmission in a wide area network(WAN) using
overlay multicast. We prove that in a congestion-free core network model, using
shallow broadcast trees with heights up to two is sufficient for all-to-all
data transmission to achieve the optimal throughput allowed by the available
network resources.",Hao Tan; Wojciech Golab,,cs.DC
http://arxiv.org/abs/2305.14058v1,Network Routing on Regular Digraphs and Their Line Graphs,2023-05-23T13:37:42Z,2023-05-23T13:37:42Z,"This paper concerns all-to-all network routing on regular digraphs. In
previous work we focused on efficient routing in highly symmetric digraphs with
low diameter for fixed degree. Here, we show that every connected regular
digraph has an all-to-all routing scheme and associated schedule with no
waiting. In fact, this routing scheme becomes more efficient as the diameter
goes down with respect to the degree and number of vertices. Lastly, we examine
the simple scheduling algorithm called ``farthest-distance-first'' and prove
that it yields optimal schedules for all-to-all communication in networks of
interest, including Kautz graphs.",Vance Faber; Noah Streib,,math.CO
http://arxiv.org/abs/2404.13510v1,"Characterization of order structures avoiding three-term arithmetic
  progressions",2024-04-21T03:00:17Z,2024-04-21T03:00:17Z,"It is known that the set of all nonnegative integers may be equipped with a
total order that is chaotic in the sense that there is no monotone three-term
arithmetic progressions. Such chaotic order must be so complicated that the
resulting ordered set cannot be order isomorphic to the set of all nonnegative
integers or the set of all integers with the standard order. In this paper, we
completely characterize order structures of chaotic orders on the set of all
nonnegative integers, as well as on the set of all integers and on the set of
all rational numbers.",Minoru Hirose; Shingo Saito,,math.CO
http://arxiv.org/abs/2404.14245v1,Functional Closure Properties of Finite $\mathbb{N}$-weighted Automata,2024-04-22T14:57:37Z,2024-04-22T14:57:37Z,"We determine all functional closure properties of finite
$\mathbb{N}$-weighted automata, even all multivariate ones, and in particular
all multivariate polynomials. We also determine all univariate closure
properties in the promise setting, and all multivariate closure properties
under certain assumptions on the promise, in particular we determine all
multivariate closure properties where the output vector lies on a monotone
algebraic graph variety.",Julian Dörfler; Christian Ikenmeyer,,cs.CC
http://arxiv.org/abs/astro-ph/0305242v2,Feasibility of GRB with TeV gamma ray all sky monitor,2003-05-14T08:40:21Z,2004-03-10T06:38:36Z,"We discuss feasibility of Gamma ray burst (GRB) with TeV gamma ray all sky
monitor and discuss necessity of TeV gamma ray cherenkov all sky monitor.",S. Osone,,astro-ph
http://arxiv.org/abs/math/0508215v1,"On the Possible Monoid Structures of the Natural Numbers N, or Finding
  All Associative Binary Operations on N",2005-08-12T10:59:24Z,2005-08-12T10:59:24Z,"A certain analysis of all possible associative binary operations on N is
presented. This is equivalent with an analysis of all possible monoid
structures on N. Several results and a conjecture in this regard are given.",Elemer E Rosinger,,math.GM
http://arxiv.org/abs/math/0509676v1,Quantum Lobachevsky Planes,2005-09-28T18:51:33Z,2005-09-28T18:51:33Z,"We classify all SL(2,R)-covariant Poisson structures on the Lobachevsky plane
with respect to all multiplicative Poisson structures on SL(2,R) and describe
Quantisations for all these Poisson structures.",Frank Leitenberger,10.1063/1.531560,math.QA
http://arxiv.org/abs/1103.5230v1,On primary and secondary repetitions in words,2011-03-27T16:17:11Z,2011-03-27T16:17:11Z,"Combinatorial properties of maximal repetitions (runs) in formal words are
studied. We classify all maximal repetitions in a word as primary and secondary
where the set of all primary repetitions determines all the other repetitons in
the word. Essential combinatorial properties of primary repetitions are
established.",Roman Kolpakov,,cs.FL
http://arxiv.org/abs/1106.3972v1,"All Fierz-Paulian massive gravity theories have ghosts or superluminal
  modes",2011-06-20T17:35:28Z,2011-06-20T17:35:28Z,"We show that all non-linear completions of the Fierz-Pauli massive gravity
are ruled out, because all theories which might be ghost-free have superluminal
modes.",Andrei Gruzinov,,hep-th
http://arxiv.org/abs/1801.02359v1,A convergent $1/n$-expansion for GSE and GOE,2018-01-08T09:44:10Z,2018-01-08T09:44:10Z,"We generalize the results on the asymptotic expansion from Gaussian Unitary
Ensembles case to all Gaussian Ensembles. We derive differential equations on
densities and their moment generating functions for all Gaussian Ensembles.
Also, we calculate explicit expressions for the moment generating functions for
all Gaussian Ensembles.",Yaroslav Naprienko,,math.PR
http://arxiv.org/abs/1803.07698v1,"The classification of $n$-dimensional anticommutative algebras with
  $(n-3)$-dimensional annihilator",2018-03-21T00:15:47Z,2018-03-21T00:15:47Z,"We give the classification of all $n$-dimensional anticommutative complex
algebras with $(n-3)$-dimensional annihilator. Namely, we describe all central
extensions of all $3$-dimensional anticommutative complex algebras.",Antonio Jesús Calderón; Amir Fernández Ouaridi; Ivan Kaygorodov,10.1080/00927872.2018.1468909,math.RA
http://arxiv.org/abs/1812.01433v1,"Outer billiards outside regular decagon: periodicity of almost all
  orbits and existence of an aperiodic point",2018-11-29T16:34:01Z,2018-11-29T16:34:01Z,"The existence of an aperiodic orbit for an outer billiard outside a regular
octagon is proved. Additionally, almost all orbits of such an outer billiard
are proved to be periodic. All possible periods are explicitly listed.",Filipp Rukhovich,,math.DS
http://arxiv.org/abs/1904.02699v2,"All Order $α'$ Corrections to Fermionic Couplings of
  D-brane-Anti-D-brane Effective Actions",2019-04-04T17:56:41Z,2019-05-16T14:08:49Z,"We first point out to all order $\alpha'$ corrections to lower order
fermionic couplings and their effective actions of type II super string theory.
In order to reveal all symmetries of the particular D-brane Anti-D-brane
system, and to construct not only all the singularity structures but also all
order $\alpha'$ corrections of fermionic couplings to tachyons, we employ all
the Conformal Field Theory (CFT) methods to a six point function. Basically, we
construct all the correlation functions of four spin operators and two world
sheet fermion fields. The S-matrix of two fermion fields, two real tachyons in
the presence of a closed string Ramond-Ramond (RR) field in type II will be
explored. Applying all the symmetries of the amplitude, a proper expansion for
D-brane Anti D-brane is also found out. Having carried out all the Effective
Field Theory (EFT) techniques, one would discover all order singularity
structures of string theory. The entire algebraic computations of the amplitude
of $<V_{C^{-1}(z,\bar z)} V_{\bar\psi^{-1/2}(x_1)} V_{\psi^{-1/2}(x_2)}
V_{T^{0}(x_3)} V_{T^{0}(x_4)}>$ have also been derived. Various new string
couplings are revealed as well. Eventually, making comparison the S-matrix with
all EFT parts, all order $\alpha'$ higher derivative corrections to two
fermions -- two tachyons in the world volume of D-brane Anti D-brane of type II
are discovered accordingly.",Ehsan Hatefi,10.1088/1475-7516/2019/05/044,hep-th
http://arxiv.org/abs/1905.00895v1,"Heron Angles, Heron Triangles, and Heron Parallelograms",2019-05-01T23:30:33Z,2019-05-01T23:30:33Z,"Heron angle: both its sine and cosine are rational Heron triangle: all its
sides and area are rational Heron Parallelogram: all its sides, diagonals and
area are rational We give one-to-one (bijective) parametrizations for all three
concepts.",Walter Wyss,,math.GM
http://arxiv.org/abs/2206.01505v1,MAXI : Monitor of All-sky X-ray Image,2022-06-03T11:08:17Z,2022-06-03T11:08:17Z,"Monitor of All-sky X-ray Image (MAXI) is a Japanese X-ray all-sky monitor
onboard the International Space Station (ISS).",Tatehiro Mihara; Hiroshi Tsunemi; Hitoshi Negoro,10.1007/978-981-16-4544-0_38-1,astro-ph.IM
http://arxiv.org/abs/2210.17223v2,Accelerating Distributed MoE Training and Inference with Lina,2022-10-31T11:07:23Z,2024-04-28T21:28:12Z,"Scaling model parameters improves model quality at the price of high
computation overhead. Sparsely activated models, usually in the form of Mixture
of Experts (MoE) architecture, have sub-linear scaling of computation cost with
model size, thus providing opportunities to train and serve a larger model at
lower cost than their dense counterparts. However, distributed MoE training and
inference is inefficient, mainly due to the interleaved all-to-all
communication during model computation. This paper makes two main
contributions. First, we systematically analyze all-to-all overhead in
distributed MoE and present the main causes for it to be the bottleneck in
training and inference, respectively. Second, we design and build Lina to
address the all-to-all bottleneck head-on. Lina opportunistically prioritizes
all-to-all over the concurrent allreduce whenever feasible using tensor
partitioning, so all-to-all and training step time is improved. Lina further
exploits the inherent pattern of expert selection to dynamically schedule
resources during inference, so that the transfer size and bandwidth of
all-to-all across devices are balanced amid the highly skewed expert popularity
in practice. Experiments on an A100 GPU testbed show that Lina reduces the
training step time by up to 1.73x and reduces the 95%ile inference time by an
average of 1.63x over the state-of-the-art systems.",Jiamin Li; Yimin Jiang; Yibo Zhu; Cong Wang; Hong Xu,,cs.DC
http://arxiv.org/abs/2302.03515v1,Comment on WKB series of all orders,2023-02-07T14:59:59Z,2023-02-07T14:59:59Z,"The Dunham expansion for the one-dimensional two-turning-point eigenvalue
problem for all orders in the WKB approximation is examined. An explicit form
for all the odd order terms in the expansion which are are total derivatives is
given.",C. V. Sukumar,,quant-ph
http://arxiv.org/abs/math/9712288v1,The covering numbers of Mycielski ideals are all equal,1997-12-15T00:00:00Z,1997-12-15T00:00:00Z,"The Mycielski ideal M_k is defined to consist of all sets A subseteq k^omega
such that {f restriction X: f in A} not= k^X for all X in [omega]^{aleph_0}. It
will be shown that the covering numbers for these ideals are all equal.
However, the covering numbers of the closely associated Roslanowski ideals will
be shown to be consistently different.",Saharon Shelah; Juris Steprāns,,math.LO
http://arxiv.org/abs/math/0503183v1,On the Number of Hamiltonian Groups,2005-03-09T18:16:14Z,2005-03-09T18:16:14Z,"Finite hamiltonian groups are counted. The sequence of numbers of all groups
of order $n$ all whose subgroups are normal and the sequence of numbers of all
groups of order less or equal to $n$ all whose subgroups are normal are
presented.",Boris Horvat; Gašper Jaklič; Tomaž Pisanski,,math.CO
http://arxiv.org/abs/math/0505598v1,Isometry groups of k-curvature homogeneous pseudo-Riemannian manifolds,2005-05-27T07:01:17Z,2005-05-27T07:01:17Z,"We study the isometry groups and Killing vector fields of a family of
pseudo-Riemannian metrics on Euclidean space which have neutral signature
(3+2p,3+2p). All are p+2 curvature homogeneous, all have vanishing Weyl scalar
invariants, all are geodesically complete, and all are 0-curvature modeled on
an indecomposible symmetric space. Some of these manifolds are not p+3
curvature homogeneous. Some are homogeneous but not symmetric.",P. Gilkey; S. Nikcevic,,math.DG
